Rk,Player,Debut,Age,Yrs,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vertical,Vertical Leap,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
45,Trayce Jackson-Davis,Oct 27 '23 GSW @ SAC,23,1,16.6,3.43,4.88,0.00,0.01,1.09,1.94,1.99,5.01,1.21,0.43,1.12,0.72,1.59,7.94,jackstr02,80.3,240.4,85,106,9.25,10.8,33,37,11.8,3,3,NA,105.90%,99.4,139,143
93,Tristan Vukcevic,Mar 23 '24 WAS vs. TOR,20,1,15.3,2.90,6.70,1.00,3.60,1.70,2.20,0.60,3.60,1.30,0.50,0.70,1.00,2.80,8.50,vukcetr01,83.3,223.4,86.5,111,9,10.3,26,30.5,11.71,3.16,3.43,NA,103.90%,92.3,137,141.5
79,Alondes Williams,Dec 10 '22 BRK @ IND,23,1,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,willial06,75.75,209,79,102,8.5,9.3,30,35.5,10.96,3.11,3.15,NA,104.30%,78.6,132,137.5
58,Andrew Nembhard,Oct 21 '22 IND vs. SAS,23,1,27.64,3.79,8.59,1.23,3.51,0.65,0.83,0.47,2.65,4.55,0.93,0.17,1.68,2.39,9.45,nembhan01,75,195.6,77.75,99,8,9.5,26.5,35,10.46,3.02,3.26,NA,103.70%,76,125.5,134
77,Blake Wesley,Oct 28 '22 SAS vs. CHI,19,1,18.08,1.86,5.81,0.54,1.41,0.70,1.19,0.32,2.19,2.65,0.68,0.14,1.76,1.81,4.97,weslebl01,75,187.2,81.25,103,8.25,9,30,36,11.55,3.25,3.21,NA,108.30%,74.3,133,139
51,Bryce McGowens,Oct 19 '22 CHO @ SAS,20,1,17.11,1.74,4.39,0.57,1.74,1.30,1.74,0.43,2.02,1.17,0.33,0.13,0.93,1.04,5.35,mcgowbr01,77.25,181.2,80.75,103.5,8.75,9.5,29.5,34,11.12,3.16,3.27,NA,104.50%,83.1,133,137.5
9,Christian Braun,Oct 19 '22 DEN @ UTA,21,1,15.54,1.88,3.80,0.45,1.26,0.53,0.84,0.63,2.38,0.78,0.54,0.22,0.46,1.33,4.74,braunch01,77.5,209.2,78.5,99.5,8,8.5,33.5,40,11,3.13,3.16,NA,101.30%,68,133,139.5
45,Christian Koloko,Oct 19 '22 TOR vs. CLE,22,1,13.83,1.24,2.59,0.02,0.21,0.64,1.02,1.45,2.95,0.53,0.36,0.98,0.34,2.21,3.14,kolokch01,82.75,221,89.25,113,9,10.8,28,33.5,11.3,3.19,3.27,NA,107.90%,96.8,141,146.5
64,David Roddy,Oct 19 '22 MEM vs. NYK,21,1,17.97,2.57,6.00,0.93,3.03,0.59,0.93,0.71,2.76,0.84,0.41,0.27,0.81,1.53,6.66,roddyda01,76.5,260.8,83.5,105,8.75,10,27,35.5,10.75,3.1,3.22,NA,109.20%,87.5,132,140.5
66,Dereon Seabron,Oct 28 '22 NOP @ PHO,22,1,2.40,0.40,1.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.80,seabrde01,76.75,182.4,80.75,103.5,8.5,9.5,30.5,38,11.03,3.04,3.12,NA,105.20%,80.8,134,141.5
4,Dominick Barlow,Nov 2 '22 SAS vs. TOR,19,1,14.57,1.64,3.07,0.00,0.14,0.64,0.89,1.64,3.64,0.86,0.36,0.68,0.54,2.00,3.93,barlodo01,80.75,221,87,108.5,9,10.5,28.5,34,11.29,3.19,3.33,NA,107.70%,94.5,137,142.5
18,Dyson Daniels,Oct 19 '22 NOP @ BRK,19,1,17.66,1.47,3.53,0.46,1.46,0.44,0.68,0.61,3.19,2.27,0.73,0.19,0.97,1.68,3.85,daniedy01,78,195.2,82.5,105,8.5,9.8,29,34,10.81,2.81,3.22,NA,105.80%,82.9,134,139
74,Jabari Walker,Oct 24 '22 POR vs. DEN,20,1,11.05,1.48,3.54,0.29,1.00,0.61,0.80,0.86,2.34,0.61,0.18,0.23,0.52,1.23,3.86,walkeja01,78.75,213.8,82.75,105,8.75,9.8,29.5,32.5,11.53,3.12,3.24,NA,105.10%,85.3,134.5,137.5
46,Jake LaRavia,Oct 19 '22 MEM vs. NYK,21,1,11.83,1.06,2.71,0.69,2.03,0.20,0.26,0.54,1.80,0.60,0.34,0.11,0.51,1.40,3.00,laravja01,78.75,227.2,81.5,104,8.5,10.3,27.5,34,10.58,2.89,3.37,NA,103.50%,87.1,131.5,138
81,Jalen Williams,Oct 19 '22 OKC @ MIN,21,1,30.35,5.52,10.59,0.97,2.73,2.07,2.55,1.12,4.49,3.31,1.37,0.47,1.64,2.55,14.08,willija06,76.5,209.2,86.25,105.5,8.5,9.5,33.5,39,11.13,3.17,3.11,NA,112.70%,80.8,139,144.5
82,Jaylin Williams,Oct 23 '22 OKC vs. MIN,20,1,18.65,2.08,4.78,0.94,2.31,0.78,1.10,0.90,4.92,1.55,0.57,0.24,0.76,2.27,5.88,willija07,80.75,236.6,85,108.5,8.5,10.5,24.5,30,11.64,3.1,3.5,NA,105.30%,89.3,133,138.5
20,JD Davison,Nov 11 '22 BOS vs. DEN,20,1,5.50,0.67,1.58,0.17,0.58,0.08,0.17,0.17,0.75,0.92,0.17,0.17,0.33,0.42,1.58,davisjd01,72.5,191.8,78.5,99.5,8.5,9.5,30,37,11.38,3.23,3.26,NA,108.30%,80.8,129.5,136.5
