Rk,YEAR,Player,POS,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,HANDL,HANDW,Standing Vertical,Leaping Vertical,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
50,2019,Isaac Jones,C,Oct 28 '24 SAC vs. POR,24,1,40,7.60,1.35,2.08,0.08,0.20,0.58,0.90,0.55,1.43,0.30,0.13,0.25,0.40,0.75,3.35,jonesis01,79.8,235,87,108,9.25,10.3,29,35,11.49,3,3.38,NA,109.10%,94.8,137,143
18,2022,Isaiah Collier,PG,Nov 7 '24 UTA @ MIL,20,1,71,25.90,3.30,7.82,0.59,2.38,1.48,2.17,0.45,3.31,6.28,0.93,0.23,2.93,2.10,8.66,colliis01,74.5,204.6,76.8,97.5,9,9,30,34,10.77,3,3,NA,103.00%,76.5,127.5,131.5
54,2022,Isaiah Mobley,PF,Oct 22 '22 CLE @ CHI,23,1,12,7.00,1.00,2.33,0.25,0.67,0.33,0.33,0.33,1.67,0.25,0.33,0.25,0.08,0.67,2.58,mobleis01,80,238,87,107.5,9,10,26.5,32,12.7,3.5,3.3,NA,108.80%,90,134,139.5
111,2020,Isaiah Todd,PF,Oct 25 '21 WAS @ BRK,20,1,12,6.17,0.58,2.17,0.33,1.33,0.17,0.50,0.25,1.00,0.33,0.33,0.17,0.33,0.33,1.67,toddis01,80.75,219,85.25,107.5,9,9.8,28.5,35.5,11.38,3.25,3.31,NA,105.60%,87.8,136,143
101,2024,Isaiah Wong,SG,Dec 9 '23 IND @ LAL,23,1,1,4.00,1.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,wongis01,74.5,178.4,78.8,97.5,8.25,9.5,32.5,37,10.93,NA,3.22,NA,105.70%,78.4,130,134.5
98,2022,Ja'Kobe Walter,SG,Nov 1 '24 TOR vs. LAL,20,1,52,21.21,3.06,7.56,1.25,3.58,1.27,1.60,1.13,3.08,1.56,0.83,0.19,0.96,1.83,8.63,walteja01,76.3,197.6,82,102.5,8.75,9.8,30.5,38.5,11,2.92,3.04,NA,107.50%,85.3,133,141
74,2021,Jabari Walker,PF,Oct 24 '22 POR vs. DEN,20,1,56,11.05,1.48,3.54,0.29,1.00,0.61,0.80,0.86,2.34,0.61,0.18,0.23,0.52,1.23,3.86,walkeja01,78.75,213.8,82.75,105,8.75,9.8,29.5,32.5,11.53,3.12,3.24,NA,105.10%,85.3,134.5,137.5
40,2024,Jacob Evans,SG-SF,Oct 22 '18 GSW vs. PHO,21,1,30,6.80,0.60,1.77,0.13,0.50,0.00,0.03,0.20,0.83,0.77,0.17,0.10,0.37,0.93,1.33,evansja02,76.25,199.6,81.25,102.5,9,9.3,28,35.5,11.11,3.14,3.2,8,106.60%,83.3,130.5,138
103,2018,Jaden Springer,SG,Oct 20 '21 PHI @ NOP,19,1,2,3.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,1.00,0.00,0.00,1.00,0.50,0.00,1.00,sprinja01,75,202,79.75,99,8.5,9.8,34.5,41.5,11.46,3.1,3.13,NA,106.30%,82.9,133.5,140.5
46,2021,Jaime Jaquez Jr.,SF,Oct 25 '23 MIA vs. DET,22,1,75,28.17,4.55,9.29,0.87,2.69,1.89,2.33,1.09,3.80,2.60,1.03,0.27,1.47,2.23,11.85,jaqueja01,78,226.4,81.5,99.5,8.5,9.5,35,39,11.21,NA,3,NA,104.50%,80.8,134.5,138.5
46,2023,Jake LaRavia,PF,Oct 19 '22 MEM vs. NYK,21,1,35,11.83,1.06,2.71,0.69,2.03,0.20,0.26,0.54,1.80,0.60,0.34,0.11,0.51,1.40,3.00,laravja01,78.75,227.2,81.5,104,8.5,10.3,27.5,34,10.58,2.89,3.37,NA,103.50%,87.1,131.5,138
